,Datum,Schluss DAX,Schluss EURO STOXX 50,Schluss Dow Jones,Schluss SMI,Schluss MSCI World,Schluss FTSE,Schluss ATX,Schluss SDAX,Schluss Tec DAX,Schluss NASDAQ 100,Schluss Nikkei,Schluss Hang Seng,Schluss SHANGHAI STOCK EXCHANGE B SHARES,Schluss Emerging Markets,Schluss Bovespa
0,24.03.2003,2548.370,2124.780,8214.600,4230.700,764.795,3743.300,1157.180,1700.340,337.780,1047.100,8435.070,9108.450,120.800,279.256,11052.000
1,25.03.2003,2636.100,2184.980,8280.200,4263.600,771.798,3762.000,1159.880,1712.510,344.770,1066.570,8238.760,9062.150,119.090,277.982,11248.000
2,26.03.2003,2579.330,2172.640,8229.800,4247.100,770.102,3793.100,1171.040,1717.300,346.330,1066.300,8351.920,9047.090,118.060,278.743,11206.000
3,27.03.2003,2584.050,2132.510,8201.400,4194.500,766.602,3729.100,1166.620,1703.450,340.550,1061.930,8368.670,8872.320,122.610,277.431,11233.000
4,28.03.2003,2520.840,2132.110,8145.700,4207.600,762.954,3708.500,1162.820,1697.900,338.760,1046.720,8280.160,8848.260,121.650,277.317,11396.000
5,31.03.2003,2423.870,2036.860,7992.100,4085.600,748.628,3613.300,1163.110,1694.580,329.520,1018.660,7972.710,8634.450,122.460,272.267,11273.000
6,01.04.2003,2450.190,2067.230,8069.800,4135.500,756.638,3684.800,1167.710,1717.030,338.520,1022.630,7986.720,8596.890,122.800,273.664,11592.000
7,02.04.2003,2589.350,2160.230,8285.000,4272.100,773.240,3753.400,1186.810,1735.560,350.540,1063.460,8069.850,8706.100,122.030,276.152,11872.000
8,03.04.2003,2569.810,2182.970,8240.300,4327.200,771.598,3771.100,1183.090,1731.670,345.810,1064.060,8017.750,8648.100,121.830,277.748,12006.000
9,04.04.2003,2654.070,2223.170,8277.100,4386.200,774.865,3814.400,1189.870,1743.910,345.700,1050.710,8074.120,8822.400,124.670,281.023,12065.000
10,07.04.2003,2808.940,2314.540,8300.400,4490.700,782.854,3935.800,1211.310,1797.940,368.160,1053.280,8249.980,8962.200,123.740,287.198,12135.000
11,08.04.2003,2767.790,2282.240,8298.900,4465.000,778.792,3868.800,1205.210,1798.560,366.560,1046.300,8131.410,8806.600,123.100,285.742,11778.000
12,09.04.2003,2734.100,2279.520,8197.900,4472.800,771.811,3861.400,1197.450,1814.060,368.000,1023.520,8057.610,8636.800,123.600,283.489,11758.000
13,10.04.2003,2697.100,2222.400,8221.300,4374.200,772.938,3803.300,1197.590,1807.840,357.520,1033.140,7980.120,8625.700,122.410,283.683,11591.000
14,11.04.2003,2733.950,2247.470,8203.400,4448.100,770.296,3808.100,1200.020,1823.440,358.570,1026.150,7816.490,8645.600,124.680,284.702,11718.000
15,14.04.2003,2776.780,2273.960,8351.100,4493.400,781.179,3849.400,1196.040,1825.600,359.530,1048.310,7752.100,8533.500,128.430,286.319,11873.000
16,15.04.2003,2834.120,2317.720,8402.300,4605.300,789.094,3916.800,1190.990,1836.000,364.610,1053.080,7838.830,8632.100,130.160,290.737,12043.000
17,16.04.2003,2824.680,2294.950,8257.600,4556.700,782.680,3854.900,1173.640,1842.080,369.610,1054.890,7879.490,8675.100,128.340,294.288,12043.000
18,17.04.2003,2899.780,2324.270,8337.600,4523.700,792.656,3889.200,1177.540,1856.630,373.960,1083.560,7821.900,8579.100,129.000,294.459,12395.000
19,22.04.2003,2960.960,2343.590,8484.900,4531.300,803.888,3917.700,1172.010,1884.840,380.990,1102.440,7790.460,8571.900,124.630,293.879,12452.000
20,23.04.2003,2974.400,2365.970,8515.600,4586.900,810.797,3966.500,1196.490,1917.960,386.930,1112.930,7793.380,8519.600,121.760,294.128,12394.000
21,24.04.2003,2891.620,2310.870,8440.000,4519.100,805.296,3899.000,1204.110,1924.410,382.060,1108.120,7854.570,8442.100,119.300,290.030,12120.000
22,25.04.2003,2838.230,2271.920,8306.300,4475.900,794.409,3870.200,1200.620,1919.330,378.330,1083.190,7699.500,8409.000,118.060,285.768,12126.000
23,28.04.2003,2953.920,2344.020,8471.600,4556.500,806.666,3940.300,1216.560,1936.450,386.380,1107.130,7607.880,8435.000,119.850,287.674,12464.000
24,30.04.2003,2942.040,2324.230,8480.000,4542.700,813.302,3926.000,1229.160,1948.490,389.350,1106.060,7831.420,8717.200,118.610,295.166,12556.000
25,02.05.2003,2986.000,2321.900,8582.600,4516.300,822.498,3952.600,1262.580,1969.410,397.240,1136.510,7907.190,8808.100,118.610,296.707,12832.000
26,12.05.2003,2937.260,2318.000,8726.700,4479.700,839.966,3987.400,1308.970,1986.000,390.460,1160.420,8221.120,9155.500,116.420,305.898,13320.000
27,13.05.2003,2909.950,2312.900,8679.200,4538.600,838.565,3999.900,1307.360,1987.810,393.240,1155.970,8190.260,9119.000,111.220,305.676,13420.000
28,14.05.2003,2926.030,2309.930,8647.800,4546.600,838.027,3975.000,1320.690,1992.850,390.000,1148.140,8244.910,9103.600,113.020,304.999,13459.000
29,15.05.2003,2989.380,2344.010,8713.100,4560.600,843.040,4011.100,1324.900,2021.680,397.380,1162.930,8123.400,9126.000,116.610,305.226,13129.000
30,16.05.2003,2989.080,2349.130,8678.900,4594.800,844.286,4049.000,1325.740,2039.740,398.520,1154.480,8117.290,9093.100,116.490,303.016,13224.000
31,19.05.2003,2850.680,2248.030,8493.300,4489.400,826.254,3941.300,1311.410,2010.600,387.690,1112.490,8039.130,9087.300,117.050,300.503,12745.000
32,20.05.2003,2838.930,2249.060,8491.300,4514.400,826.132,3971.600,1313.580,2013.390,383.480,1112.850,8059.480,9050.400,115.650,299.839,12745.000
33,21.05.2003,2827.250,2229.430,8516.400,4450.600,826.243,3936.400,1310.410,1993.880,371.700,1113.680,8018.510,9059.800,115.260,300.255,13033.000
34,22.05.2003,2865.210,2261.980,8594.000,4570.700,834.241,3990.400,1310.610,2005.020,382.940,1131.450,8051.660,9131.400,115.610,302.123,13100.000
35,23.05.2003,2822.830,2246.580,8601.300,4574.000,836.940,3979.800,1307.240,2007.060,383.400,1130.050,8184.760,9303.700,116.140,307.084,13142.000
36,27.05.2003,2873.600,2259.350,8781.300,4566.800,847.740,3992.400,1288.850,2003.270,385.700,1172.580,8120.240,9420.800,116.810,309.112,13246.000
37,28.05.2003,2919.540,2309.330,8793.100,4664.800,850.656,4071.900,1284.970,2012.100,394.310,1173.310,8234.180,9510.600,117.620,312.899,13305.000
38,30.05.2003,2982.680,2330.060,8850.200,4630.800,857.649,4048.100,1250.190,2033.980,403.650,1197.890,8424.510,9487.300,119.500,315.436,13421.000
39,02.06.2003,3064.560,2379.390,8897.800,4754.800,865.511,4129.300,1285.480,2054.030,421.070,1185.130,8547.170,9637.500,118.650,319.468,13228.000
40,03.06.2003,3026.820,2366.310,8922.900,4713.100,865.865,4115.700,1291.630,2059.460,412.120,1198.570,8564.490,9662.800,117.470,318.194,13350.000
41,05.06.2003,3039.760,2365.760,9041.300,4706.600,881.732,4104.300,1294.570,2087.010,419.280,1231.720,8657.230,9639.000,116.370,322.708,13779.000
42,06.06.2003,3127.460,2421.920,9062.700,4786.700,883.293,4150.800,1302.100,2101.370,429.070,1213.110,8785.870,9694.600,115.130,324.475,13923.000
43,10.06.2003,3140.340,2410.550,9054.800,4788.900,879.567,4113.000,1301.540,2110.960,435.330,1212.990,8789.090,9703.700,115.250,325.053,13893.000
44,11.06.2003,3178.150,2452.400,9183.200,4840.300,892.272,4150.100,1307.660,2125.820,436.540,1228.240,8890.300,9662.000,117.120,325.354,13876.000
45,12.06.2003,3219.470,2479.910,9196.500,4880.200,894.314,4161.300,1288.810,2134.480,435.750,1229.320,8918.600,9736.800,116.970,328.979,13982.000
46,13.06.2003,3168.710,2440.320,9117.100,4795.100,887.463,4134.100,1297.220,2119.300,424.720,1203.910,8980.640,9855.600,116.800,330.159,13733.000
47,16.06.2003,3264.500,2492.280,9318.900,4900.400,903.274,4152.900,1297.160,2137.590,431.010,1241.580,8839.830,9862.200,116.440,331.686,13832.000
48,17.06.2003,3286.480,2505.990,9323.000,4950.800,907.260,4190.400,1298.780,2143.300,435.630,1239.630,9033.000,10030.300,116.470,337.563,13776.000
49,18.06.2003,3304.150,2527.440,9293.800,4992.500,905.355,4207.000,1306.460,2150.760,440.070,1247.900,9092.970,9970.300,116.410,335.590,13510.000
50,20.06.2003,3238.980,2515.330,9200.700,4936.800,894.191,4160.100,1311.960,2151.430,432.890,1223.130,9120.390,9930.300,115.090,336.277,13130.000
51,23.06.2003,3186.390,2450.570,9072.900,4825.900,880.921,4087.900,1313.050,2121.500,424.100,1200.170,9137.140,9935.900,114.240,331.640,12991.200
52,24.06.2003,3217.340,2446.780,9109.800,4829.000,877.849,4060.900,1306.090,2134.290,419.880,1191.700,8919.260,9629.400,114.510,329.675,13108.400
53,25.06.2003,3198.820,2453.730,9011.500,4832.100,876.456,4067.900,1300.120,2148.450,420.480,1188.410,8932.260,9629.000,113.890,332.687,13025.700
54,26.06.2003,3241.220,2452.860,9079.000,4847.800,877.820,4041.700,1306.360,2135.330,427.060,1214.680,8923.410,9606.100,113.990,332.521,13111.700
55,27.06.2003,3224.660,2453.490,8989.000,4847.900,874.177,4067.800,1313.110,2150.470,422.290,1205.250,9104.060,9657.200,113.150,333.575,13024.100
56,30.06.2003,3220.580,2419.510,8985.400,4813.700,871.066,4031.200,1305.710,2170.790,425.290,1201.690,9083.110,9577.100,112.300,332.684,12972.500
57,02.07.2003,3241.040,2420.350,9142.800,4789.800,886.365,3963.900,1331.860,2166.900,429.450,1245.750,9592.240,9602.600,113.210,341.331,13310.400
58,03.07.2003,3241.920,2421.640,9070.200,4826.000,885.823,4024.800,1324.190,2175.340,427.680,1231.340,9624.800,9646.100,113.290,343.229,13134.400
59,07.07.2003,3332.870,2486.010,9216.700,4933.000,897.993,4074.800,1342.970,2207.720,444.640,1281.890,9795.160,9892.400,111.790,349.763,13402.000
60,08.07.2003,3344.460,2492.730,9223.000,4912.000,898.613,4073.600,1328.160,2225.840,450.610,1298.370,9898.720,9992.900,112.570,351.530,13618.800
61,10.07.2003,3269.840,2441.900,9036.000,4859.200,884.992,4028.800,1321.300,2204.050,443.010,1268.650,9955.620,9983.300,113.700,346.816,13501.200
62,11.07.2003,3326.510,2477.720,9119.590,4914.000,889.533,4058.100,1326.470,2221.110,443.080,1280.570,9635.350,9911.500,113.320,346.423,13320.500
63,14.07.2003,3396.070,2517.880,9177.100,4982.500,897.450,4127.600,1346.700,2253.600,456.640,1295.740,9755.630,10122.400,112.950,353.432,13588.100
64,15.07.2003,3384.690,2503.360,9128.900,4957.500,892.497,4102.500,1345.280,2268.060,455.070,1294.470,9751.000,10135.600,113.370,352.009,13614.100
65,16.07.2003,3387.640,2487.990,9094.500,4940.100,886.413,4077.100,1350.290,2295.970,458.370,1291.990,9735.970,10207.200,112.970,350.353,13487.200
66,17.07.2003,3330.680,2449.730,9050.800,4906.200,874.813,4056.600,1342.390,2282.130,450.940,1255.940,9498.860,10096.700,116.010,346.220,13622.200
67,18.07.2003,3366.710,2458.920,9188.100,4910.200,881.668,4073.200,1345.890,2292.920,453.470,1259.910,9527.730,10140.800,113.640,344.542,13794.200
68,22.07.2003,3318.150,2436.880,9158.400,4871.300,880.354,4079.700,1320.980,2289.620,445.150,1257.630,9485.970,10008.700,113.170,344.919,13835.200
69,23.07.2003,3304.480,2429.070,9194.200,4903.700,883.999,4086.500,1338.850,2289.640,442.380,1268.520,9615.340,9900.600,113.370,344.192,13798.700
70,24.07.2003,3374.820,2480.870,9112.500,4970.600,885.976,4149.600,1332.050,2300.210,455.730,1253.760,9671.000,9923.100,113.010,347.598,13761.100
71,25.07.2003,3356.890,2442.130,9284.500,4946.000,894.612,4131.200,1334.760,2298.280,453.600,1278.310,9648.010,9939.200,112.450,350.411,13750.300
72,28.07.2003,3417.770,2486.760,9266.500,5006.000,896.437,4148.800,1333.690,2322.410,458.350,1280.530,9839.910,10134.900,112.160,354.458,13643.300
73,29.07.2003,3428.120,2470.410,9204.400,4992.600,891.688,4137.000,1332.350,2329.690,454.750,1275.170,9834.310,10198.600,112.620,353.353,13623.300
74,30.07.2003,3429.030,2483.900,9200.000,5043.600,886.781,4141.200,1329.640,2333.360,451.640,1263.780,9632.660,10121.200,112.440,351.260,13474.500
75,31.07.2003,3487.860,2519.790,9233.800,5079.100,887.780,4157.000,1321.260,2336.640,461.400,1276.940,9563.210,10134.800,111.840,352.624,13571.700
76,01.08.2003,3438.890,2479.700,9153.900,5044.800,880.789,4098.400,1320.280,2345.180,458.800,1264.340,9611.670,10248.600,111.330,353.232,13129.800
77,04.08.2003,3405.310,2456.280,9186.000,4990.000,880.925,4100.100,1317.990,2368.010,458.240,1267.380,9452.790,10183.100,112.070,351.953,12938.800
78,05.08.2003,3438.360,2481.770,9036.300,5046.100,872.991,4121.000,1323.350,2368.600,465.980,1229.720,9382.580,10177.400,111.550,350.148,13059.200
79,06.08.2003,3375.660,2437.380,9061.700,4997.800,869.976,4070.400,1314.750,2338.090,459.730,1215.130,9323.910,9987.500,111.130,347.051,12887.700
80,07.08.2003,3331.890,2436.060,9126.400,4985.500,875.533,4095.600,1320.330,2322.560,451.100,1217.170,9265.560,9958.100,110.990,349.722,13328.300
81,08.08.2003,3332.240,2460.140,9191.000,5004.700,878.399,4147.800,1320.060,2356.860,459.790,1207.280,9327.530,9945.200,109.630,349.611,13499.900
82,11.08.2003,3339.580,2479.060,9217.300,5003.000,882.790,4176.700,1317.340,2364.350,460.100,1223.140,9487.800,10093.500,108.050,352.334,13560.200
83,12.08.2003,3381.710,2496.580,9310.000,5049.600,889.211,4185.600,1323.640,2387.860,467.870,1240.700,9564.810,10184.200,108.780,352.778,13602.400
84,13.08.2003,3398.890,2497.740,9271.700,5030.400,887.780,4180.700,1324.990,2380.500,475.050,1240.370,9752.750,10301.500,107.740,357.538,13682.200
85,14.08.2003,3452.700,2544.050,9310.500,5071.400,894.787,4237.800,1328.570,2390.340,474.080,1251.900,9913.470,10374.000,106.830,360.923,13812.100
86,18.08.2003,3507.230,2574.000,9412.400,5167.400,901.285,4272.100,1331.310,2392.170,483.690,1284.810,10032.970,10525.000,100.890,364.586,14146.200
87,19.08.2003,3504.530,2579.190,9428.900,5186.200,902.644,4250.800,1347.230,2387.340,491.080,1299.690,10174.100,10509.300,101.070,365.884,14157.900
88,20.08.2003,3501.230,2562.650,9397.500,5153.700,903.240,4217.400,1349.930,2382.680,493.740,1299.730,10292.060,10475.300,98.290,366.433,14466.900
89,21.08.2003,3565.470,2583.910,9423.600,5207.800,904.559,4223.500,1351.590,2389.010,507.470,1314.650,10362.690,10643.600,98.810,371.425,14669.900
90,22.08.2003,3549.050,2593.550,9348.800,5250.700,897.740,4225.900,1349.970,2397.090,512.400,1304.540,10281.170,10760.700,100.150,372.849,14613.000
91,26.08.2003,3455.480,2537.140,9340.400,5156.700,895.155,4177.400,1358.490,2387.180,506.800,1309.050,10332.570,10753.900,99.910,369.318,14877.600
92,27.08.2003,3483.080,2560.760,9333.700,5180.000,897.030,4206.400,1358.760,2391.660,510.550,1318.930,10308.990,10678.600,99.920,371.085,15142.500
93,28.08.2003,3492.670,2575.990,9374.200,5201.000,901.242,4198.000,1358.660,2397.950,513.860,1332.330,10225.220,10760.100,99.290,371.556,15064.500
94,29.08.2003,3484.580,2556.710,9415.800,5124.200,905.324,4161.100,1350.860,2404.590,524.200,1341.200,10343.550,10909.000,100.200,375.518,15174.400
95,02.09.2003,3567.200,2599.800,9523.200,5185.000,916.592,4204.400,1368.990,2409.610,543.740,1361.090,10690.080,10939.940,102.440,378.697,15454.300
96,03.09.2003,3647.510,2641.550,9568.400,5291.000,922.909,4262.100,1377.680,2442.520,561.190,1360.190,10715.690,11102.360,102.510,381.616,15633.800
97,04.09.2003,3668.670,2638.800,9587.900,5298.800,924.453,4248.800,1370.080,2426.860,561.630,1373.260,10646.950,11138.620,101.940,382.799,15704.800
98,05.09.2003,3607.710,2614.810,9503.300,5310.600,922.872,4257.200,1369.000,2435.600,556.300,1361.900,10650.770,11170.610,99.920,384.734,15899.600
99,08.09.2003,3641.530,2635.600,9586.200,5336.300,931.577,4292.100,1381.720,2468.140,560.740,1386.730,10683.760,11165.280,99.320,386.103,16050.200
100,09.09.2003,3594.400,2604.080,9507.200,5297.800,927.775,4263.900,1373.640,2463.800,554.550,1370.560,10922.040,11046.820,98.710,384.805,15718.300
101,10.09.2003,3536.870,2565.520,9420.400,5306.200,918.011,4252.100,1371.450,2437.590,534.210,1332.280,10856.320,10810.310,98.990,383.478,15983.200
102,11.09.2003,3566.850,2572.740,9459.700,5313.800,919.341,4242.200,1382.380,2462.400,531.010,1350.800,10546.330,10883.520,99.120,384.029,16292.400
103,16.09.2003,3564.750,2585.280,9567.300,5371.400,931.848,4299.000,1365.700,2503.640,540.260,1382.820,10887.030,11071.380,98.990,383.678,16269.500
104,17.09.2003,3561.030,2586.810,9545.600,5398.900,933.317,4293.000,1361.340,2523.750,543.990,1376.800,10990.110,11140.050,97.800,384.772,16492.300
105,18.09.2003,3612.020,2608.580,9659.100,5422.600,944.095,4314.700,1360.010,2514.200,543.010,1400.130,11033.320,11069.220,98.350,384.306,16889.400
106,19.09.2003,3578.700,2582.470,9644.800,5387.100,942.484,4257.000,1365.780,2510.670,524.930,1392.260,10938.420,10968.420,98.300,382.827,16851.400
107,22.09.2003,3456.270,2514.110,9535.400,5257.200,932.745,4228.200,1354.930,2476.690,510.680,1366.320,10475.100,10873.270,98.250,378.857,16485.600
108,24.09.2003,3307.340,2477.340,9425.500,5230.700,925.676,4236.400,1348.110,2453.950,503.750,1339.640,10502.290,11295.890,99.930,383.301,16057.800
109,25.09.2003,3326.270,2465.130,9343.900,5160.600,918.890,4202.200,1340.090,2447.420,495.080,1325.750,10310.040,11286.520,98.740,379.631,15806.000
110,26.09.2003,3324.850,2447.920,9313.000,5131.300,912.188,4157.100,1342.580,2442.030,485.490,1309.310,10318.440,11290.150,98.630,376.657,15810.600
111,29.09.2003,3323.380,2440.120,9380.200,5102.300,916.904,4143.300,1348.980,2462.040,487.800,1335.510,10229.570,11141.280,98.540,377.000,16108.700
112,30.09.2003,3256.780,2395.870,9275.000,5043.500,909.641,4091.300,1351.890,2439.370,485.440,1303.700,10219.050,11229.870,99.120,377.634,16010.600
113,02.10.2003,3276.640,2434.630,9487.800,5077.900,933.326,4209.100,1353.230,2425.830,497.800,1337.100,10593.530,11546.120,99.120,387.049,16893.600
114,06.10.2003,3404.910,2497.100,9594.900,5161.500,946.826,4270.100,1363.070,2453.580,517.180,1381.700,10740.140,11734.480,99.120,393.782,17273.300
115,07.10.2003,3355.780,2476.610,9654.600,5123.700,951.585,4272.000,1364.710,2449.670,512.550,1392.560,10820.330,11723.920,99.120,395.939,17470.100
116,08.10.2003,3395.330,2473.880,9630.900,5146.200,947.361,4268.600,1373.910,2444.500,521.070,1382.400,10542.200,11720.800,100.060,398.572,17804.800
117,09.10.2003,3481.900,2531.370,9680.000,5217.800,953.812,4313.900,1376.410,2454.250,535.490,1396.950,10531.440,11800.370,100.410,403.686,17708.100
118,10.10.2003,3471.250,2518.440,9674.600,5204.500,956.273,4311.000,1379.220,2456.940,531.120,1404.870,10786.040,11935.830,105.990,407.879,17676.100
119,14.10.2003,3538.130,2552.380,9812.900,5254.000,964.298,4334.100,1397.400,2457.930,538.580,1420.660,10966.430,11856.020,105.380,408.723,18178.000
120,15.10.2003,3570.580,2571.410,9803.000,5262.500,963.246,4368.800,1401.780,2473.640,552.830,1417.590,10899.950,12056.180,104.610,407.807,17942.000
121,16.10.2003,3577.720,2557.800,9791.700,5262.900,967.054,4339.700,1410.230,2487.090,550.560,1426.710,11025.150,12027.570,103.010,411.612,17955.000
122,17.10.2003,3516.670,2550.820,9721.700,5247.300,959.427,4344.000,1406.110,2481.890,540.540,1394.020,11037.890,12044.490,103.130,409.651,17790.700
123,20.10.2003,3559.330,2552.180,9777.900,5266.600,963.094,4347.500,1406.760,2481.370,538.990,1409.310,11161.710,12147.890,103.330,411.100,18369.500
124,21.10.2003,3580.080,2560.140,9747.600,5257.900,965.056,4352.300,1400.170,2502.690,541.920,1422.130,11031.520,12250.690,103.740,410.052,18448.700
125,22.10.2003,3490.600,2509.970,9598.200,5176.600,953.541,4285.600,1394.230,2498.120,529.130,1387.400,10889.620,12238.630,106.410,408.935,18234.800
126,23.10.2003,3497.140,2489.070,9613.100,5123.000,947.079,4240.200,1386.310,2472.670,524.250,1378.110,10335.160,11737.180,105.520,400.732,17689.800
127,24.10.2003,3452.640,2482.560,9582.400,5123.700,946.114,4239.000,1387.320,2475.650,520.970,1370.610,10335.700,11736.370,105.440,400.682,17551.600
128,27.10.2003,3517.100,2512.320,9608.100,5157.600,949.994,4251.300,1386.980,2484.830,531.170,1377.410,10454.120,11749.720,104.650,400.967,17750.400
129,28.10.2003,3586.930,2542.700,9748.300,5185.200,960.510,4272.900,1392.190,2493.710,548.930,1420.020,10561.010,12091.880,104.670,407.075,18227.600
130,29.10.2003,3615.420,2556.160,9774.500,5177.500,963.822,4265.700,1407.370,2498.900,555.490,1419.920,10739.220,12130.510,104.670,408.791,17944.800
131,30.10.2003,3639.660,2571.510,9786.600,5223.200,964.589,4300.900,1418.920,2514.180,558.490,1417.380,10695.560,12143.350,104.740,409.890,18093.800
132,31.10.2003,3655.990,2575.040,9801.100,5211.400,962.707,4287.600,1421.140,2555.370,563.440,1416.390,10559.590,12190.100,106.480,409.115,17954.600
133,04.11.2003,3741.710,2627.320,9838.800,5252.100,967.231,4330.300,1448.030,2584.990,573.190,1429.380,10847.970,12440.720,111.670,417.479,18541.100
134,05.11.2003,3717.700,2609.900,9820.800,5203.200,964.089,4303.400,1434.810,2582.480,558.270,1429.560,10837.540,12438.920,113.230,417.577,18307.000
135,06.11.2003,3733.930,2626.680,9856.900,5235.700,964.504,4324.200,1431.940,2579.840,562.580,1440.080,10552.300,12150.090,113.790,413.771,18612.900
136,07.11.2003,3782.560,2657.600,9809.700,5299.600,967.327,4376.900,1437.940,2604.810,568.960,1436.730,10628.980,12215.170,111.650,416.474,18672.100
137,10.11.2003,3746.240,2633.070,9756.500,5242.200,962.817,4341.800,1436.700,2603.100,559.070,1414.620,10504.540,12156.680,109.850,414.109,18572.200
138,11.11.2003,3729.870,2618.900,9737.700,5260.300,958.324,4345.100,1428.690,2570.420,548.790,1409.640,10207.040,12003.620,111.220,409.642,18408.600
139,12.11.2003,3748.340,2627.150,9848.800,5270.600,968.244,4371.200,1433.390,2583.880,558.430,1443.520,10226.220,11971.480,110.020,412.508,18793.500
140,14.11.2003,3797.400,2656.940,9768.600,5369.800,970.017,4397.000,1452.280,2593.590,572.170,1407.510,10167.060,12203.530,110.000,417.675,18985.800
141,17.11.2003,3674.540,2586.050,9710.800,5274.700,957.911,4338.900,1442.790,2578.180,550.340,1393.750,9786.830,11997.020,110.270,410.303,18668.700
142,18.11.2003,3666.280,2584.050,9624.100,5249.900,956.495,4354.700,1453.090,2576.660,549.860,1364.700,9897.050,12027.260,108.060,410.771,18812.900
143,19.11.2003,3652.290,2574.660,9690.400,5197.600,957.419,4327.400,1459.760,2558.380,545.780,1378.900,9614.600,11872.990,109.330,404.273,18807.300
144,20.11.2003,3638.040,2568.710,9619.400,5200.900,954.115,4308.000,1446.030,2557.910,546.500,1363.490,9865.700,11845.410,111.420,401.150,19199.100
145,21.11.2003,3642.250,2578.240,9628.500,5206.300,955.978,4319.000,1450.690,2561.930,544.550,1373.320,9852.830,11839.800,110.480,403.723,19248.300
146,25.11.2003,3733.160,2625.310,9763.900,5309.100,968.171,4388.700,1474.770,2603.820,559.660,1411.360,9960.200,12008.070,111.760,405.498,19809.800
147,26.11.2003,3712.980,2619.560,9779.500,5296.000,974.718,4370.300,1466.410,2603.300,555.960,1420.110,10144.830,12086.670,111.540,408.898,19694.800
148,28.11.2003,3745.950,2630.470,9782.400,5317.500,976.019,4342.600,1490.670,2603.750,557.170,1424.250,10100.570,12317.470,110.370,413.325,20103.800
149,01.12.2003,3821.200,2674.620,9899.000,5374.900,988.272,4410.000,1507.650,2605.620,563.900,1447.080,10403.270,12456.990,111.840,421.291,20520.600
150,02.12.2003,3809.260,2666.970,9853.600,5378.200,989.350,4378.900,1509.380,2617.680,562.500,1431.890,10410.150,12412.230,111.680,422.684,20458.400
151,03.12.2003,3875.660,2694.010,9873.400,5440.700,990.530,4392.000,1510.550,2610.500,563.590,1419.770,10326.390,12361.180,111.750,423.651,20539.600
152,04.12.2003,3874.780,2693.430,9930.800,5427.000,992.252,4378.200,1507.420,2598.950,562.550,1432.380,10429.990,12342.650,111.500,421.194,20414.100
153,05.12.2003,3841.730,2672.020,9862.600,5365.100,987.821,4367.000,1511.040,2602.690,558.210,1406.910,10373.460,12314.730,110.980,419.682,20879.800
154,09.12.2003,3846.180,2672.620,9923.400,5392.400,987.476,4379.600,1523.920,2596.330,552.290,1383.660,10124.280,12393.640,109.910,423.100,21259.700
155,10.12.2003,3820.920,2660.730,9921.800,5345.100,983.093,4335.400,1503.700,2598.840,548.740,1388.960,9910.560,12398.380,110.280,421.772,20972.600
156,11.12.2003,3858.850,2684.710,10008.100,5403.100,989.475,4331.300,1501.050,2580.500,544.920,1416.960,10075.140,12554.580,109.310,423.507,21296.300
157,12.12.2003,3860.130,2685.390,10042.100,5397.600,995.217,4347.600,1509.580,2576.360,545.520,1417.270,10169.660,12594.420,109.070,426.369,20973.900
158,15.12.2003,3875.470,2698.770,10022.800,5427.100,995.878,4348.000,1515.400,2592.780,546.950,1396.820,10490.770,12520.170,109.150,429.605,20709.700
159,16.12.2003,3865.980,2697.140,10129.500,5383.300,997.057,4333.000,1498.950,2580.760,532.530,1403.280,10271.600,12260.330,108.730,425.648,20759.500
160,17.12.2003,3847.570,2692.260,10145.200,5356.500,997.984,4354.200,1494.780,2569.600,526.330,1400.000,10092.640,12193.120,108.590,421.969,21199.200
161,18.12.2003,3870.880,2714.730,10248.000,5415.800,1007.169,4397.300,1509.250,2563.170,531.710,1431.310,10104.000,12240.250,108.100,425.776,21489.200
162,19.12.2003,3898.420,2725.260,10278.220,5413.400,1008.523,4412.300,1525.760,2555.550,534.360,1426.170,10284.540,12371.750,104.590,427.759,21385.500
163,22.12.2003,3876.940,2714.090,10338.000,5387.800,1012.461,4424.000,1531.800,2542.030,533.910,1431.710,10372.510,12487.990,104.180,430.574,21630.200
164,29.12.2003,3952.720,2744.200,10450.000,5445.200,1028.182,4457.500,1548.690,2580.600,540.140,1470.370,10500.620,12464.290,105.250,436.296,22045.400
165,30.12.2003,3965.160,2750.090,10425.040,5487.800,1032.265,4470.400,1545.150,2586.070,541.310,1470.010,10676.640,12526.740,105.700,441.627,22236.300
166,05.01.2004,4035.900,2808.070,10544.070,5582.700,1051.889,4513.300,1598.850,2651.200,556.700,1496.580,10825.170,13005.330,106.230,462.290,23531.700
167,07.01.2004,4004.400,2782.520,10529.030,5583.400,1052.089,4473.000,1611.380,2649.610,557.090,1514.260,10757.820,13157.680,106.820,459.844,23320.100
168,08.01.2004,4045.430,2821.330,10592.440,5605.100,1059.436,4494.200,1631.790,2666.210,576.430,1530.650,10837.650,13203.590,113.130,461.859,23716.800
169,09.01.2004,4016.180,2800.160,10458.890,5574.700,1056.785,4466.300,1627.460,2659.820,575.920,1520.460,10965.050,13385.800,113.130,468.068,23916.700
170,13.01.2004,3996.220,2801.970,10427.180,5559.100,1054.596,4440.100,1646.320,2684.510,576.690,1524.780,10849.680,13396.650,113.740,467.660,23939.600
171,14.01.2004,4055.210,2829.440,10538.370,5624.300,1059.703,4461.400,1672.670,2698.560,582.750,1534.080,10863.000,13320.880,112.470,464.129,23398.600
